key_mlbam,key_bbref
686752,pepiory01
624512,mcguire01
662139,varshda01
669060,wilsobr02
689147,kerkeor01
669720,haysau01
641933,oneilty01
592885,yelicch01
686747,lasorjo01
645444,herrejo04
664126,fairbpe01
650489,castrwi01
690829,joycebe01
666163,rortvbe01
682120,herriti01
669199,bachala01
621366,borucry01
621107,eflinza01
663485,sandsco01
656811,ohearry01
641487,crawfjp01
607208,turnetr01
663372,feltnry01
678545,basabos01
680474,schuema01
573009,mantijo01
669724,hanifbr01
608717,stratch01
677592,pereiev01
572191,taylomi02
656257,brighje01
607481,bummeaa01
667755,soriajo02
622761,mateojo01
691176,dominja01
545358,stassma01
665926,gimenan01
607536,freelky01
667463,kingjo01
668930,turanbr02
657136,wongco01
642207,willide03
677800,abreuwi02
543877,vazquch01
669699,shewmbr01
669707,triolja01
663158,suarero01
682985,greenri03
677955,hillja01
691594,sanojja01
702352,bivensp01
676701,trejoal01
666374,brashma01
672642,berrost01
696285,youngja03
600917,leclejo01
663604,lockrbr01
656731,megilty01
644433,trompch01
624641,sosaed01
578428,iglesjo01
666139,lowejo01
700250,ricebe01
672356,ariasga01
519151,pressry01
681624,pagesan01
641313,anderti01
624424,confomi01
671732,butlela01
650559,delacbr01
624415,biggica01
650968,pozoyo01
666624,morelch01
656818,overtco01
667452,julksco01
665645,castrke01
686555,colliis01
670103,burgora01
672724,perazos02
621466,stewadj01
663321,hernani01
693307,dingldi01
605138,benjawe01
681857,olsonre01
489446,yateski01
678246,vargami01
666397,julieed01
661395,duranjh01
680776,duranja01
680577,keirsda01
646240,deverra01
676679,vazqulu01
664192,lucchjo01
806185,birdsha01
669289,espinsa01
687529,mccragr01
670092,brooktr01
622491,castilu02
640492,azocajo01
664875,lawreju01
680777,jeffery01
669261,suwinja01
643410,leitema02
641680,heimjo01
650671,quijajo01
592663,realmjt01
691182,amadoad01
694362,dunnbl01
595345,okertst01
534910,hahnje01
607067,reaco01
621199,bowmama01
666176,adelljo01
677594,rodriju01
680757,kwanst01
606019,quiroes01
664913,brownse01
664056,baderha01
664761,bohmal01
691023,walkejo02
687765,spencmi01
642048,sauceta01
641343,bauerja01
656484,graytr01
681146,bridejo01
666200,luzarje01
682073,henslda01
676440,bibeeta01
641302,alexaty01
663586,rileyau01
592836,walketa01
649966,uriaslu01
695578,woodja03
664670,lopezal03
656240,blewesc01
686826,jarvibr01
656786,mushipa01
621438,tayloty01
573186,stromma01
666120,anderia01
678882,rafaece01
666974,canoye01
691406,caminju01
660844,rivasle01
622268,waltodo01
672744,canaral01
691718,crowape01
678226,hernada03
669062,milleer01
682668,acunajo01
605447,romanjo03
657649,koenija01
596142,sanchga02
623211,brazohu01
688363,paulegr01
670770,friedtj01
680885,schwesp01
641816,mahlety01
663728,raleica01
594798,degroja01
641598,garvemi01
621512,nidoto01
665489,guerrvl02
676477,whitlga01
695336,saggeth01
682617,luciama01
650893,cabrege01
572955,johnspi01
669022,gorema01
688297,roycrch01
518397,alexasc02
676475,burleal01
669374,hiurake01
596019,lindofr01
668820,kranima01
656945,scottta01
605612,castrha01
679845,loftini01
657247,okeefbr01
682171,murfepe01
641927,oberba01
642520,garabge01
592791,taillja01
657514,bernabr01
493329,gourryu01
663436,martida03
662253,munozan01
642727,alcanse01
622534,margoma01
642020,robinch04
594580,mollsa01
664744,espadjo01
657746,ryanjo04
687863,hodgepo01
663947,holtoty01
595928,curtijo02
686823,brennwi02
643316,frypa01
472610,garcilu03
687847,churcma01
592866,willitr01
606160,montera01
694738,rouppla01
663616,larnatr01
624428,fraziad01
676508,caspabe01
663941,becktr01
683769,gaddihu01
663757,grishtr01
669477,schmica01
672582,zerpaan01
664948,misiean01
543760,semiema01
605452,rossjo01
521692,perezsa02
676801,mccorch01
543807,springe01
686613,brownhu01
553869,diazel01
680891,neelyja01
666157,lodolni01
608566,marquge01
670148,mondona01
670097,shortza01
455117,maldoma01
672695,perdoge01
669003,mitchga01
657041,thomala02
645302,roblevi01
600869,candeje01
694037,palenda01
805779,wilsoja05
640462,pukaj01
683734,vaughan01
664728,isbelky01
665155,matonni01
676070,amayaja01
681351,ohopplo01
657240,merryju01
669450,hummeco01
571657,farmeky01
666971,gurrilo01
672640,lopezot01
656302,ceasedy01
669394,burgeja01
666931,olivaja01
671221,waterdr01
621383,banksta01
641745,kellebr01
678225,baeji01
670623,paredis01
542963,brantro01
553993,suareeu01
673357,roberlu01
605131,barneau01
553882,narvaom01
672335,perezci01
665052,coningr01
664076,cleavga01
676664,searsjp01
660644,brujavi01
663330,jonesja08
666018,arandjo01
678495,rodrira02
668709,bledajj01
621020,swansda01
681082,stottbr01
665625,pegueel01
671218,ramoshe02
675916,karinja01
614179,ruizjo01
547180,harpebr03
642715,adamewi01
592454,kahnlto01
605113,ahmedni01
596115,storytr01
647304,naylojo01
543056,couloda01
445276,janseke01
595879,baezja01
596146,keplema01
572138,singljo02
678877,noeljh01
683021,stefami01
671739,harrimi04
663698,bartjo01
592192,canhama01
592826,velasvi01
669854,blancro01
683737,buschmi02
642152,trivilo01
664023,happia01
592626,pederjo01
681517,leahyky01
665750,taverle01
669276,leedy01
665877,fermijo01
608671,jankotr01
700242,sweentr01
678020,halvose01
676946,battema01
681987,eatonna01
677347,parisky01
596103,slateau01
640451,harvehu01
605244,garciar01
623168,heinety01
672710,contrro01
657571,ferguca01
643396,kineris01
669087,huffsa01
456781,solando01
674370,bidoos01
595978,hedgeau01
669461,liberma01
608360,okeych01
663697,indiajo01
656537,hillde01
682641,matoslu02
623437,topaju01
656354,davisau01
687952,encarch01
672820,sosale01
455119,martich02
656716,mckinza01
605204,davisjd01
668227,arozara01
666915,dalbebo01
623433,anderni01
669224,wellsau01
647351,toroab01
672851,adonjo01
605361,martini02
621566,olsonma02
689958,waltean01
606192,hernate01
673962,jungjo01
606466,marteke01
687377,ribalor01
592773,stanery01
608379,wachami01
660688,ruizke01
458677,wilsoju10
570799,villach01
674441,hurtuja01
679032,rojasjo03
605155,breweco01
664983,mccarja02
664059,haggesa01
670156,mastrmi01
665561,marchra01
663656,tuckeky01
643289,dubonma01
608331,friedma01
593428,bogaexa01
671922,smithca06
664129,hartlge01
676962,brownbe02
681481,carpeke01
641658,hampsga01
656186,altavda01
664199,clarkta01
701542,warrewi01
677008,kjershe01
690916,fittsri01
683146,batybr01
681460,baldwbr01
687957,harridu01
663609,bakerlu01
660825,bazared01
686894,wiemejo01
663460,bubickr01
661527,martise01
669257,smithwi05
605488,sprinje01
672284,kelenja01
518489,brasiry01
628451,ibanean01
682848,rodrien01
686780,pagespe02
664774,wadela01
657557,dejonpa01
663967,salazce01
665742,sotoju01
605137,belljo02
621529,hudsojo03
608070,ramirjo01
666171,zeferry01
624413,alonspe01
672841,vargaca01
656582,joeco01
605135,bassich01
450203,mortoch02
656248,bouchse01
642133,tellero01
621493,wardta01
683409,chivian01
620453,grullde01
641656,hamilia01
669134,campulu01
678906,tengka01
663796,monteco01
547973,chapmar01
686611,crewsdy01
679529,torkesp01
608324,bregmal01
602104,uriasra01
668885,martiau01
666182,bichebo01
676092,snideco01
673995,wendzda01
677588,tenajo01
592155,booseca01
686993,sternju01
674285,salazed01
670059,holdeco01
663893,littlbr02
669743,callal02
665019,clemeko01
645801,fordmi01
606965,devench02
687363,scottvi01
670970,morejad01
682847,ortizlu03
656427,flaheja01
527038,florewi01
682829,delacel01
656185,allengr01
670712,brossmi01
514888,altuvjo01
680118,blancda02
542932,bertijo01
676428,hurtebr01
669137,alvarar01
665862,chishja01
663731,kaiseco01
621053,ferguty01
545361,troutmi01
457705,mccutan01
663546,hjellse01
686554,dunnol01
642197,westbja02
663556,mcclash01
656305,chapmma01
628317,maedake01
669397,allenni02
695238,wagnewi01
677649,duranez01
666149,fitzgty01
641584,fraleja01
607043,nimmobr01
686469,pasquvi01
687597,beckjo01
676974,meyerma01
606992,haaseer01
595777,profaju01
623352,haderjo01
681293,arrigsp01
661403,claseem01
518876,kellyme01
685801,biggehu01
621008,degotal01
682177,schneda04
656555,hoskirh01
671213,casastr01
656541,hillisa01
624431,trevijo01
669065,stoweky01
457759,turneju01
642397,sotogr01
621028,newmake01
682998,carroco02
455369,penara02
571466,barnhtu01
680977,donovbr01
643377,jaxgr01
690544,hornba01
685133,mecklwa01
685126,eiserbr01
687362,gillico01
