,Name,Tm,mlbID,key_bbref
1,Cory Abbott,Chicago,676265,abbotco01
2,CJ Abrams,"San Diego,Washington",682928,abramcj01
3,Jos\xc3\xa9 Abreu,"Chicago,Houston",547989,abreujo02
4,Wilyer Abreu,Boston,677800,abreuwi02
5,Luisangel Acu\xc3\xb1a,New York,682668,acunajo01
6,Ronald Acu\xc3\xb1a Jr.,Atlanta,660670,acunaro01
7,Willy Adames,"Milwaukee,Tampa Bay",642715,adamewi01
8,Jordyn Adams,Los Angeles,677941,adamsjo03
9,Matt Adams,Colorado,571431,adamsma01
10,Riley Adams,"Toronto,Washington",656180,adamsri03
11,Jo Adell,Los Angeles,666176,adelljo01
12,Joan Adon,Washington,672851,adonjo01
13,Ehire Adrianza,"Atlanta,Los Angeles,Washington",501303,adriaeh01
14,Jes\xc3\xbas Aguilar,"Baltimore,Miami,Oakland",542583,aguilje01
15,Ryan Aguilar,Los Angeles,666922,aguilry01
16,Nick Ahmed,"Arizona,Los Angeles,San Diego,San Francisco",605113,ahmedni01
17,Keegan Akin,Baltimore,669211,akinke01
18,Shogo Akiyama,Cincinnati,673451,akiyash01
19,R.J. Alaniz,Cincinnati,595798,alanirj01
20,Hanser Alberto,"Chicago,Kansas City,Los Angeles",593643,alberha01
21,Ozzie Albies,Atlanta,645277,albieoz01
22,Kevin Alc\xc3\xa1ntara,Chicago,682634,alcanke01
23,Sandy Alc\xc3\xa1ntara,Miami,645261,alcansa01
24,Sergio Alc\xc3\xa1ntara,"Arizona,Chicago,San Diego",642727,alcanse01
25,Blaze Alexander,Arizona,677942,alexabl01
27,CJ Alexander,Kansas City,680769,alexacj01
28,Tyler Alexander,Detroit,641302,alexaty01
29,Jorge Alfaro,"Boston,Colorado,Miami,San Diego",595751,alfarjo01
30,Anthony Alford,Pittsburgh,546990,alforan01
31,Kolby Allard,Texas,663465,allarko01
32,Austin Allen,Oakland,664119,allenau01
33,Greg Allen,"New York,Pittsburgh",656185,allengr01
34,Logan Allen,Cleveland,663531,allenlo01
35,Nick Allen,Oakland,669397,allenni02
36,Abraham Almonte,"Atlanta,Boston,New York",501659,almonab01
37,Yency Almonte,Colorado,622075,almonye01
38,Albert Almora,"Cincinnati,New York",546991,almoral01
39,Pete Alonso,New York,624413,alonspe01
40,Jose Altuve,Houston,514888,altuvjo01
41,Jake Alu,Washington,666906,aluja01
42,Jos\xc3\xa9 Alvarado,Philadelphia,621237,alvarjo03
43,Armando Alvarez,Oakland,669137,alvarar01
44,Eddy Alvarez,"Los Angeles,Miami,New York",657193,alvared01
45,Francisco Alvarez,New York,682626,alvarfr01
46,Jos\xc3\xa9 \xc3\x81lvarez,San Francisco,501625,alvarjo02
47,Nacho Alvarez Jr.,Atlanta,805373,alvarna01
48,Yordan Alvarez,Houston,670541,alvaryo01
49,Adbert Alzolay,Chicago,640470,alzolad01
